Input,Llama2ExLlama,Llama2ExLlama score,Llama2ExLlama yn score
"Cetoddle, Scrafty","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| Treecko | Grass | 45 | 70 | 60 | 50 | 40 | 70 | - | The first Pokémon discovered in the Johto region. It has a strong connection to nature and is said to have been created by the earth itself. |",0.7298729419708252,0.1328729093074798
Lumineon,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Lumineon | Fire | 65 | 120 | 90 | 130 | 80 | 100 | - | A fire-type Pokémon that can generate intense heat and light. Its flames are said to have healing properties. |",0.686508059501648,0.2315081059932708
"Dusclops, Phanpy, Wurmple","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dusclops | Dragon | 60 | 120 | 85 | 95 | 70 | 40 | - | A large, dragon-like Pokémon with a distinctive horn on its forehead. It can breathe fire and has incredible strength. |
| Phanpy | Ground | 45 | 90 | 60 | 70 | 50 | 30 | - | An ancient Pokémon that is said to have lived during the time of the dinosaurs. Its body is covered in hard scales for protection. |
| Wurmple | Bug | 50 | 80 | 60 | 70 | 50 | 30 | - | A small, insect-like Pokémon with six legs. It can use its long antennae to sense its surroundings and attack its opponents. |",0.6377429962158203,0.1360762864351272
Shiftry,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Shiftry | Bug | 60 | 120 | 95 | 70 | 85 | 40 | N/A | A small, insect-like Pokémon. It can create powerful illusions to confuse its opponents. |",0.5708362460136414,0.1408362984657287
"Klinklang, Lurantis, Whismur","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Klinklang | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A water-type Pokémon that can create powerful waves to attack its opponents. Its evolved form is Kingler. |
| Lurantis | Psychic | 70 | 130 | 100 | 90 | 80 | 50 | - | A psychic-type Pokémon that can control the minds of others and use their power for itself. Its evolved form is Clamper. |
| Whismur | Ground | 50 | 90 | 80 | 70 | 60 | 40 | - | A ground-type Pokémon that can burrow underground and attack from beneath the opponent's feet. Its evolved form is Snorlax. |",0.682121992111206,0.1364553272724151
"Barboach, Breloom, Omastar","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Barboach | Water | 60 | 120 | 85 | 90 | 70 | 40 | - | A aquatic Pokémon that can create powerful whirlpools to suck in its opponents. |
| Breloom | Grass | 70 | 130 | 95 | 80 | 60 | 50 | - | A plant-like Pokémon with large petals on its head that can absorb and nullify attacks. |
| Omastar | Rock | 80 | 140 | 100 | 90 | 70 | 60 | - | A rock-type Pokémon with incredible strength and durability. Its body is covered in hard, bony plates for protection. |",0.7211299538612366,0.1467966437339782
"Bruxish, Lickitung, Lechonk","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Bruxish | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A water-type Pokémon that can create powerful whirlpools to suck in opponents. Its evolved form is Kingdra. |
| Lickitung | Poison | 50 | 90 | 70 | 60 | 50 | 30 | - | A poison-type Pokémon that can latch onto its opponent and drain their energy. Its evolved form is Kangaskhan. |
| Lechonk | Ground | 40 | 70 | 50 | 60 | 40 | 20 | - | A ground-type Pokémon that can burrow underground and attack from below. Its evolved form is Golem. |",0.6829413771629333,0.1359413862228393
Relicanth,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Relicanth | Water | 65 | 120 | 90 | 80 | 70 | 40 | - | A large, serpentine Pokémon with a distinctive fin on its head. It can swim at high speeds and is known for its powerful tail whips. |",0.7337913513183594,0.2437913566827774
"Virizion, Woobat","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Virizion | Grass | 90 | 125 | 60 | 85 | 70 | 40 | - | A powerful and majestic Pokémon with the ability to control plants. It can create massive vines to restrain its opponents or summon trees to block attacks. |
| Woobat | Flying | 70 | 90 | 60 | 75 | 60 | 30 | - | A small bird-like Pokémon that is known for its speed and agility in flight. Its wings are very strong and allow it to fly at incredible speeds. |",0.6828516721725464,0.1458516418933868
Pansear,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pansear | Fire | 60 | 120 | 90 | 65 | 45 | 70 | Pansor | A fire-type Pokémon that can create massive waves and whirlpools. Its fiery mane is said to be the most beautiful in all of Alola. |",0.6981096863746643,0.2381096482276916
"Wugtrio, Blaziken, Purrloin","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Wugtrio | Normal | 60 | 120 | 90 | 75 | 40 | 80 | - | A three-headed Pokémon that can create powerful earthquakes. Its heads are capable of independent movement and can attack simultaneously. |
| Blaziken | Fire | 70 | 130 | 100 | 85 | 55 | 90 | - | A large bird Pokémon with fiery plumage. It has the ability to generate intense heat from its body, which it uses to scorch its opponents. |
| Purrloin | Electric | 60 | 90 | 80 | 70 | 45 | 65 | - | A small, rodent-like Pokémon with electric fur. It can generate powerful electric attacks by storing energy in its body. |",0.6902487277984619,0.1439153850078582
"Cranidos, Electabuzz, Golbat","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cranidos | Ground | 60 | 120 | 85 | 95 | 70 | 40 | - | A large, armored dinosaur. Its powerful legs can crush rocks and its sharp claws can tear through steel. |
| Electabuzz | Electric | 55 | 130 | 90 | 80 | 60 | 45 | - | An electric-type Pokémon with the ability to generate intense electrical discharges from its body. It is known for its intelligence and quick thinking. |
| Golbat | Flying | 60 | 100 | 85 | 70 | 60 | 45 | - | A bat-like Pokémon with incredible speed and agility. Its wings are covered in small spikes that help it grip onto surfaces during flight. |",0.6374250650405884,0.149091750383377
Cosmog,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cosmog | Psychic | 60 | 120 | 95 | 130 | 85 | 70 | - | A legendary creature from the beginning of time and space. It has the power to create and destroy entire universes. |",0.4766477346420288,0.2366477400064468
"Geodude, Primeape","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Geodude | Ground | 60 | 120 | 85 | 45 | 70 | 30 | evolves into Golem | A large, rock-like Pokémon with powerful legs. It can crush its opponents by stomping on them. |
| Primeape | Normal | 90 | 150 | 100 | 60 | 90 | 40 | does not evolve | A mischievous and cunning Pokémon that loves to play tricks on its trainers. Its intelligence is above average for a primate. |",0.6044650673866272,0.1419650763273239
"Grotle, Gothita","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Grotle | Water | 60 | 85 | 70 | 120 | 90 | 40 | Evolves into Gothita at level 30 | A water-type Pokémon that can create powerful waves and whirlpools. It is known for its high attack power and ability to heal itself using its water abilities. |
| Gothita | Fire | 70 | 100 | 85 | 120 | 100 | 50 | Evolves from Grotle at level 30 | A fire-type Pokémon with incredible strength and speed. Its fiery mane can generate intense heat and flames, which it uses to attack its opponents. |",0.5541717410087585,0.1356717646121978
"Tadbulb, Golett","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Tadbulb | Grass | 60 | 75 | 45 | 120 | 90 | 60 | - | A small, round Pokémon with large ears and a long tail. It has the ability to absorb water and use it for energy. |
| Golett | Rock | 80 | 95 | 60 | 130 | 100 | 70 | - | An underground Pokémon that can create rocks from its body. Its strength is unmatched in battle. |",0.5474653840065002,0.1534653902053833
"Slowbro, Diancie, Clawitzer, Grapploct","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Slowbro | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A large, slow-moving turtle with a powerful tail. It can generate massive waves by flapping its shell. |
| Diancie | Rock / Ground | 70 | 130 | 100 | 90 | 80 | 60 | - | A rock-like Pokémon that can create vibrations in the ground to attack opponents. Its body is covered in hard minerals for protection. |
| Clawitzer | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A sea creature with sharp claws on its hands and feet. It uses its claws to dig into rocks and create coral reefs. |
| Grapploct | Rock / Steel | 70 | 130 | 100 | 90 | 80 | 60 | - | A large, armored Pokémon with long arms and legs. It can use its strength to grab onto opponents and crush them. |",0.756280779838562,0.2424474656581878
"Zangoose, Coalossal, Palafin","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Zangoose | Normal | 60 | 120 | 90 | 65 | 45 | 70 | - | A bipedal Pokémon with a large grin and sharp fangs. It is known for its high attack power. |
| Coalossal | Water | 80 | 130 | 100 | 70 | 50 | 80 | - | A massive sea serpent that can swallow its opponents whole. Its sheer size makes it nearly invincible in battle. |
| Palafin | Electric | 70 | 100 | 80 | 60 | 40 | 70 | - | A small bird-like Pokémon with brightly colored feathers. It has the ability to generate electricity from its tailfeathers. |",0.7350321412086487,0.2400321662425995
Togekiss,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Togekiss | Normal | 65 | 120 | 90 | 70 | 80 | 100 | - | A gentle and graceful Pokémon that can use its wings to fly. It is said to have the power to heal itself by flying in mid-air. |",0.6390453577041626,0.2390453070402145
"Passimian, Carkol","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Passimian | Grass | 65 | 120 | 90 | 70 | 80 | 40 | - | A tall, slender Pokémon with long, thin arms and legs. It has large ears that can hear the slightest sounds. |
| Carkol | Water | 60 | 90 | 70 | 60 | 70 | 30 | - | A massive Pokémon with a round body and a small head. Its shell is very hard and protects it from attacks. |",0.6775283217430115,0.1350283175706863
Seel,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Seel | Water | 60 | 120 | 90 | 85 | 70 | 40 | evolves into Geodude | A sea creature that can sense its surroundings using electroreception. It has the ability to change its body shape and size at will. |",0.6796481609344482,0.3396482169628143
Sneasel,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Sneasel | Normal | 60 | 120 | 95 | 70 | 85 | 40 | - | A mischievous and cunning Pokémon that can change its shape to escape from danger. |",0.5597892999649048,0.1497893035411834
"Banette, Gastrodon, Jirachi, Duskull","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Banette | Fire | 65 | 120 | 80 | 90 | 70 | 130 | - | A dark and mysterious Pokémon that can control the shadows. It is said to have appeared in ancient times as a messenger of the gods. |
| Gastrodon | Ground | 70 | 140 | 90 | 100 | 80 | 120 | - | A large, burrowing Pokémon with incredible strength. Its powerful jaws are capable of crushing rocks. |
| Jirachi | Psychic | 60 | 100 | 80 | 90 | 70 | 120 | - | A mythical Pokémon from ancient times, said to bring good luck to those who possess it. Its powers are said to be unmatched among all Pokémon. |
| Duskull | Dark | 70 | 120 | 90 | 100 | 80 | 130 | - | A Pokémon that dwells in darkness, able to sense its surroundings through sound waves. Its eyes glow bright red in the dark. |",0.6555862426757812,0.1420862227678299
Xurkitree,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Xurkitree | Grass/Fairy | 65 | 120 | 90 | 130 | 80 | 140 | - | A tall, slender tree-like Pokémon with large leaves on its branches. It has the ability to control and manipulate plants. |",0.6616979241371155,0.2386978864669799
"Mightyena, Rowlet, Inkay, Arcanine","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Mightyena | Fire | 60 | 120 | 90 | 85 | 70 | 40 | - | A powerful and fierce Pokémon that can create massive explosions from its body. |
| Rowlet | Grass | 45 | 90 | 60 | 70 | 55 | 30 | - | An ancient Pokémon that has been around for millions of years. |
| Inkay | Water | 50 | 80 | 60 | 70 | 55 | 30 | - | A mysterious Pokémon that is said to have the power to control time itself. |
| Arcanine | Fire | 70 | 120 | 90 | 85 | 70 | 40 | - | A legendary Pokémon known for its incredible speed and strength. |",0.722324788570404,0.1443247944116592
"Houndoom, Hitmontop","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Houndoom | Normal | 60 | 120 | 90 | 75 | 100 | 85 | Kadabra | A powerful and loyal Pokémon. It can sense its trainer's emotions and respond accordingly. |
| Hitmontop | Rock | 45 | 90 | 130 | 80 | 100 | 90 | Gyarados | A fierce and territorial Pokémon. Its strong jaws can crush rocks and boulders. |",0.6088840365409851,0.1438840627670288
"Cofagrigus, Koraidon, Glastrier","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cofagrigus | Ground | 60 | 120 | 90 | 75 | 45 | 85 | - | A large, armadillo-like Pokémon with powerful digging abilities. It can burrow deep into the ground and create massive tunnels. |
| Koraidon | Fire | 55 | 130 | 100 | 80 | 50 | 90 | - | A fierce and majestic Pokémon that is said to have been born from molten lava. Its flames are so intense they can melt steel. |
| Glastrier | Steel | 60 | 120 | 90 | 80 | 60 | 100 | - | A legendary Pokémon that is said to have been forged in the depths of the earth by ancient civilizations. Its body is made of pure steel, making it nearly indestructible. |",0.6184213757514954,0.2407547533512115
Watchog,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Watchog | Normal | 60 | 120 | 95 | 70 | 40 | 85 | - | A quadrupedal Pokémon with a large grin and sharp fangs. It is known for its ability to track down prey using its keen sense of smell. |",0.8397648334503174,0.4477648735046386
"Zubat, Seedot, Reshiram","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Zubat | Water | 60 | 120 | 90 | 75 | 45 | 85 | - | A dark and mysterious Pokémon that can control water. It is said to have the power to create massive waves capable of sinking entire ships. |
| Seedot | Grass | 45 | 70 | 60 | 50 | 30 | 65 | - | A small, round Pokémon with large ears that can hear distant sounds. Its body is covered in soft, green fur. |
| Reshiram | Fire | 70 | 120 | 90 | 75 | 50 | 85 | - | A powerful, dragon-like Pokémon with flames burning brightly on its back. It has incredible strength and speed, able to move at lightning-fast speeds. |",0.6516835689544678,0.1416835784912109
Greedent,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Greedent | Ground/Steel | 60 | 120 | 90 | 75 | 85 | 40 | - | A large, slow-moving Pokémon with a round body and two small arms. It has the ability to absorb and digest metal, allowing it to survive in harsh environments. |",0.7065697908401489,0.2465697526931762
"Guzzlord, Raikou, Staraptor","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Guzzlord | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A large, lumbering Pokémon that can create massive waves and whirlpools. Its powerful tail is capable of causing massive destruction. |
| Raikou | Electric | 65 | 130 | 95 | 80 | 70 | 50 | - | A legendary Pokémon said to bring lightning storms to the battlefield. It has incredible speed and agility for its size. |
| Staraptor | Flying | 70 | 110 | 90 | 80 | 70 | 50 | - | A fast and agile Pokémon with sharp claws on its wings. It can fly at incredible speeds and strike from above. |",0.6951113939285278,0.2471113950014114
"Carnivine, Remoraid","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Carnivine | Grass | 60 | 120 | 95 | 70 | 85 | 45 | Sceptile | A grass-type Pokémon with long, sharp fangs. It can use its powerful jaws to bite through anything. |
| Remoraid | Water | 60 | 130 | 100 | 80 | 90 | 50 | Finneon | A water-type Pokémon that uses its large mouth to suck up and digest its opponents. Its body is covered in hard scales for protection. |",0.6904772520065308,0.2559772431850433
Cinderace,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cinderace | Fire | 65 | 120 | 90 | 80 | 70 | 100 | - | A fire-type Pokémon that can generate intense heat from its body. It is known for its incredible speed and agility. |",0.863650918006897,0.3366508781909942
"Dwebble, Sandslash, Diglett","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dwebble | Bug | 60 | 120 | 85 | 95 | 70 | 40 | - | A brown and orange insect-like Pokémon. It can roll into a ball for defense. |
| Sandslash | Ground | 70 | 130 | 90 | 100 | 75 | 45 | - | A large, sand-dwelling Pokémon with powerful legs. Its movements are slow but its attacks are strong. |
| Diglett | Ground | 60 | 100 | 80 | 90 | 70 | 40 | - | A small, mole-like Pokémon that lives underground. It has the ability to dig tunnels quickly. |",0.6561940908432007,0.1428607553243637
"Hypno, Altaria, Gengar, Swadloon","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Hypno | Psychic | 60 | 120 | 90 | 85 | 75 | 40 | - | A hypnotizing Pokémon that can control the minds of its opponents. |
| Altaria | Fairy | 70 | 130 | 100 | 90 | 80 | 50 | - | A beautiful and graceful Pokémon with powerful fairy-type moves. |
| Gengar | Ghost | 60 | 120 | 90 | 85 | 75 | 40 | - | A ghostly Pokémon with a mischievous personality. Can transform into other objects. |
| Swadloon | Bug | 50 | 90 | 80 | 70 | 60 | 30 | - | A small insectoid Pokémon with sharp mandibles for fighting. |",0.7099218368530273,0.1386718302965164
Ducklett,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Ducklett | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A small bird-like Pokémon that can swim at high speeds. It is known for its speed and agility in the water. |",0.6192943453788757,0.1632943451404571
Exploud,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Exploud | Ground/Fighting | 65 | 120 | 90 | 70 | 80 | 40 | None | A bipedal Pokémon with a large body and powerful legs. It can create massive shockwaves by stomping the ground, dealing massive damage to its opponents. |",0.6969025731086731,0.2479026019573211
"Quaxly, Gliscor","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Quaxly | Normal | 60 | 120 | 90 | 75 | 45 | 80 | - | A quadrupedal Pokémon with a large body and short legs. It has two small eyes on its forehead that can see in all directions. |
| Gliscor | Bug | 70 | 130 | 100 | 80 | 55 | 90 | - | An insect-like Pokémon with a hard exoskeleton. Its mandibles are very powerful and can crush rocks. |",0.6506538391113281,0.1431538164615631
Simisear,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Simisear | Fire | 60 | 120 | 85 | 95 | 70 | 40 | Flareon | A fire-type Pokémon that can generate intense heat and cause massive damage. |",0.7141017913818359,0.24410180747509
Pheromosa,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pheromosa | Grass/Fairy | 65 | 120 | 90 | 130 | 80 | 100 | - | A powerful and majestic Pokémon that can control the scent around it. It has the ability to create an intense pheromone signal that attracts other Pokémon. |",0.663462221622467,0.2404621839523315
"Goodra, Salamence","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Goodra | Ground | 60 | 120 | 85 | 95 | 70 | 40 | - | A large, serpentine Pokémon with the ability to burrow underground. It can create powerful earthquakes and control rocks. |
| Salamence | Dragon | 70 | 130 | 90 | 100 | 75 | 50 | - | An ancient Pokémon that has been around for millions of years. Its body is covered in hard scales and it has sharp claws on its hands. It can breathe fire and fly using its wings. |",0.7199792265892029,0.2474791854619979
Wynaut,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Wynaut | Normal | 60 | 120 | 95 | 70 | 85 | 130 | - | A small, mischievous Pokémon that can change its form to suit its surroundings. It is known for its ability to create powerful illusions and confuse its opponents. |",0.3726728856563568,0.1426728665828704
"Snivy, Victreebel","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Snivy | Grass | 60 | 75 | 45 | 120 | 90 | 60 | Sceptile | A grass-type Pokémon with long, slender leaves on its body. It can stretch and bend its limbs to attack its opponents from any angle. |
| Victreebel | Bug | 80 | 90 | 50 | 130 | 100 | 70 | Latios | A bug-type Pokémon with large, leaf-like wings that allow it to fly at incredible speeds. Its venomous fangs are always ready for an attack. |",0.6655404567718506,0.1445404440164566
"Pyroar, Cetitan, Gogoat","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pyroar | Fire | 60 | 120 | 90 | 85 | 70 | 40 | - | A bipedal, lion-like Pokémon with flame patterns on its fur. It can create massive fires by roaring and has the ability to generate intense heat from its body. |
| Cetitan | Rock | 70 | 130 | 100 | 90 | 80 | 50 | - | A large, sloth-like Pokémon with powerful legs that allow it to move slowly but steadily. Its shell is very hard and protects it well against attacks. |
| Gogoat | Grass | 80 | 140 | 110 | 90 | 80 | 60 | - | A large, goat-like Pokémon with long horns that can be used for defense and attacking. It has a strong sense of smell and can detect hidden objects. |",0.7043595314025879,0.2483595311641693
Munchlax,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Munchlax | Grass | 60 | 120 | 90 | 45 | 70 | 85 | Snorlax | A large and powerful Pokémon that can create massive earthquakes. Its strong jaws are capable of crushing rocks. |",0.5550127029418945,0.2150126695632934
"Latios, Magnezone, Turtwig, Sharpedo","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Latios | Fire / Flying | 60 | 125 | 90 | 85 | 70 | 100 | - | A legendary bird-like Pokémon known for its incredible speed and agility. It can fly at speeds of up to Mach 30 and is said to have the power to control the weather. |
| Magnezone | Electric | 45 | 90 | 60 | 70 | 60 | 90 | - | A powerful Pokémon that can generate intense magnetic fields. Its attacks are strong enough to cause massive destruction. |
| Turtwig | Grass | 40 | 60 | 40 | 50 | 40 | 60 | - | A small, insectoid Pokémon with a large shell on its back. It has a special ability called ""Terrain"" which allows it to adapt to any environment. |
| Sharpedo | Water | 60 | 90 | 70 | 80 | 70 | 90 | - | A prehistoric Pokémon that resembles a shark. Its sharp teeth and powerful jaws make it a formidable opponent in battle. |",0.728672206401825,0.1526721864938736
Tirtouga,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Tirtouga | Ground | 60 | 120 | 85 | 95 | 70 | 40 | - | A large, slow-moving turtle. It can create powerful earthquakes by stomping its feet. |",0.5885995626449585,0.1395995467901229
"Dartrix, Blacephalon, Pincurchin, Tandemaus","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dartrix | Grass | 60 | 120 | 90 | 75 | 45 | 85 | - | A grass-type Pokémon that can grow vines to trap its opponents. |
| Blacephalon | Psychic | 70 | 130 | 100 | 80 | 50 | 90 | - | A psychic-type Pokémon that can create powerful illusions and manipulate the minds of others. |
| Pincurchin | Bug | 50 | 80 | 60 | 70 | 40 | 75 | - | A bug-type Pokémon that can shoot spikes from its body to attack its opponents. |
| Tandemaus | Dark | 40 | 70 | 50 | 60 | 30 | 80 | - | A dark-type Pokémon that can transform into a shadowy figure to intimidate its opponents. |",0.6411916613578796,0.1246916279196739
"Poipole, Zekrom","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Poipole | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, rodent-like Pokémon with two large ears and a long tail. It has the ability to generate powerful vibrations using its body. |
| Zekrom | Electric | 70 | 130 | 90 | 100 | 75 | 45 | - | The legendary Pokémon that controls electricity. Its body is surrounded by lightning bolts, which it can use to attack its opponents. |",0.6772674918174744,0.1522674709558487
"Mesprit, Pineco, Primarina","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Mesprit | Psychic | 60 | 120 | 90 | 85 | 70 | 40 | - | A legendary Pokémon known for its wisdom and power. It can create powerful illusions to confuse opponents. |
| Pineco | Bug | 50 | 90 | 60 | 70 | 55 | 35 | - | An insect-like Pokémon that can generate intense heat from its body. Its shell is very hard and protects it well. |
| Primarina | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A marine Pokémon with the ability to produce beautiful singing voices. It can also use its voice to heal allies. |",0.7443027496337891,0.1489694118499755
Espeon,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Espeon | Psychic | 60 | 120 | 95 | 130 | 85 | 140 | - | A psychic-type Pokémon known for its intelligence and speed. It can use its powerful psychic abilities to attack and defend itself. |",0.8146881461143494,0.4496881365776062
